iter	Passed	Remaining
0	0	96
1	1	90
2	2	88
3	3	80
4	4	79
5	5	78
6	5	77
7	6	75
8	7	76
9	8	74
10	9	74
11	10	73
12	10	72
13	11	70
14	12	69
15	12	67
16	13	66
17	14	66
18	15	65
19	16	65
20	17	65
21	18	65
22	19	65
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	34	45
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	28
63	49	27
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
